,Event,FP1,FP2,F3,F4,F7,F8,C3,C4,P3,P4,O1,O2,T3,T4,T5,T6,FZ,CZ,PZ
522,0,16.4,10.0,21.8,6.0,9.2,11.4,0.7,4.1,3.9,-1.5,-2.3,5.9,2.5,8.7,20.2,15.0,6.4,5.9,157.4
523,0,14.3,10.0,22.3,5.1,7.4,10.7,-1.8,2.6,1.4,-3.6,0.0,1.3,0.6,7.7,17.2,13.8,6.2,3.8,156.0
524,0,13.6,9.2,22.4,6.1,10.4,10.2,-1.8,3.1,0.8,-3.2,3.3,-1.3,0.5,7.9,15.2,13.4,6.4,3.6,157.1
525,0,14.5,8.1,22.4,6.7,15.8,8.8,0.4,4.2,3.5,-1.1,7.0,-0.3,2.5,7.3,16.1,13.7,7.1,4.3,160.5
526,0,15.7,8.3,22.8,6.8,19.4,7.6,2.6,5.9,6.7,2.4,9.0,3.0,4.9,7.3,17.0,16.5,7.8,5.4,164.5
527,0,16.0,10.3,23.0,7.1,17.3,7.6,2.0,7.2,6.5,4.2,7.0,2.8,3.8,8.5,15.5,19.4,8.1,5.4,165.4
528,0,16.0,12.9,23.0,7.9,12.0,8.5,0.2,6.8,4.5,2.6,4.0,2.7,-0.0,9.0,14.1,18.5,7.7,4.7,163.9
529,0,16.9,14.6,23.2,9.0,10.6,8.8,1.3,6.0,5.3,1.7,5.1,8.0,-0.5,9.0,15.2,16.2,8.0,5.5,164.7
530,0,18.2,15.4,23.9,10.6,14.3,8.4,4.2,6.0,7.2,3.7,6.9,11.8,2.6,9.4,15.9,16.5,8.9,7.3,168.1
531,0,19.4,15.3,24.3,10.7,17.4,8.2,4.4,5.2,6.6,4.7,5.3,11.3,4.3,8.8,15.0,17.8,8.7,7.4,170.0
532,0,19.6,14.0,24.2,8.1,17.9,7.9,3.0,2.7,6.0,3.4,5.5,13.3,4.4,6.2,15.7,17.4,6.8,6.1,170.0
533,0,18.6,13.2,23.7,5.6,19.1,8.2,4.1,1.9,8.5,3.2,10.2,17.0,5.5,4.5,18.5,17.9,5.7,7.0,170.5
534,0,17.0,13.7,22.6,5.9,21.0,9.9,6.0,4.3,10.8,4.3,12.7,16.7,6.1,5.9,19.7,20.8,6.4,9.5,170.9
535,0,15.0,12.8,20.7,6.3,19.1,10.3,4.7,5.6,10.2,3.4,11.5,14.0,4.7,7.0,19.3,21.5,5.8,9.9,169.2
536,0,13.2,10.2,18.9,4.2,14.5,7.7,2.5,3.5,10.1,1.0,10.5,13.0,4.4,4.9,19.5,19.0,3.2,8.5,167.3
537,0,13.0,9.1,18.1,1.8,13.5,4.5,3.0,0.6,11.4,0.7,8.9,12.2,6.6,3.0,19.3,18.3,1.0,8.6,167.1
538,0,13.9,9.1,18.9,0.8,17.1,3.4,4.2,-1.5,11.5,1.1,6.5,10.3,7.5,2.6,17.4,19.6,-0.3,9.3,167.4
539,0,13.3,8.2,21.3,0.5,19.9,3.3,4.4,-3.7,11.2,-0.4,8.6,11.3,5.5,0.2,16.0,18.7,-0.9,9.3,167.5
